text,date
pulwamaattack,jawan,vote,highway,jammu,srinagar,ordinari,part,conspiraci,leader,ramgop,saidhttpswwwfirstpostcompoliticspulwamaattackconspiracyforvotessaysspleaderramgopalyadavclaimsbignameswillsurfacewhengovtchangeshtml,2019-03-21 16:55
import,question,modi,pulwama,balakot,pulwamaattack,surgicalstrik,buranamanomodihai,modihaitohmumkinhaihttpsnewscentralxcomnarendramodipulwamaterrorattackjimcorbettnationalparkbalakotairstrik,2019-03-21 16:35
ramgopalyadav,pulwamaattack,govt,jawan,vote,craze,peopl,dont,sound,pravakta,statement,india,2019-03-21 14:19
celebr,year,solidar,martyr,crpfindia,pulwamaattack,2019-03-21 13:25
year,famili,celebr,holi,solidar,famili,martyr,crpf,jawan,pulwamaattack,jai,bharat,crpfindia,narendramodi,rajnathsingh,2019-03-21 12:53
rajnath,singh,skip,holi,celebr,pulwamaattack,httpswwwndtvcomindianewsholileaderstogiveholiamissastributetopulwamasoldi,2019-03-21 12:09
prayer,famili,martyr,pulwamaattack,contribut,border,protect,celebr,holi,today,famili,indiastandason,2019-03-21 12:07
celebr,year,crpfindia,jawan,martyr,pulwamaattack,solidar,famili,home,today,grief,world,colour,festiv,2019-03-21 11:39
nation,celebr,holi,today,moment,rememb,crpf,pulwamaattack,thank,sacrific,abl,share,joy,happi,jai,hind,2019-03-21 11:23
particip,holi,celebr,time,crpfindia,brother,pulwamaattack,lot,friend,hope,happi,holi,2019-03-21 11:09
csk,whistlepodu,pulwamaattack,2019-03-21 10:52
celebr,happyholi,pulwamaattack,sack,cost,soldier,fattugiri,2019-03-21 10:46
celebr,year,solidar,crpfindia,son,india,kill,pulwamaattack,pray,famili,pray,bring,happi,2019-03-21 08:45
happyholi,ask,mother,celebr,holi,pulwamaattack,dat,play,holi,today,saint,rampal,ji,maharaj,yogrishiramdev,pmoindia,2019-03-21 08:11
celebr,year,solidar,crpfindia,son,india,kill,pulwamaattack,pray,famili,bring,tide,2019-03-21 08:06
greet,life,joy,happi,enjoy,sorrow,someon,els,jawan,pulwamaattack,particip,holi,year,2019-03-21 07:07
salman,attack,terrorist,boy,kind,httpswwwpinkvillacomentertainmentnewssalmankhanpulwamaattackterroristboywasgiveneducationwrongkind,beingsalmankhan,notebook,pulwamaattack,2019-03-21 00:46
memori,month,pulwamaattack,mani,question,class,journalist,state,brink,war,move,2019-03-20 16:38
congress,respect,narendramodi,creat,pulwamaattack,excus,surgicalstrik,claim,modi,niravmodi,credit,nab,2019-03-20 16:09
play,blood,hand,2019-03-20 10:12
disgust,countri,mourn,pissfool,misguid,youth,death,pulwamaattack,mockinghowz,libfart,guy,hate,2019-03-19 21:37
crpf,celebr,mark,respect,jawan,pulwamaattack,httpswwwabpliveinindianewscrpfnottocelebrateholiasmarkofrespectjawanskilledinpulwamaattack,2019-03-19 20:48
ye,doval,nation,forget,martyr,nation,intellig,input,act,soldier,httpswwwndtvcomindianewsnationalsecurityadvisorajitdovalsaysnationwontforgetsupremesacrificeofpulwamacrpfjawanpfromhometopscrol,2019-03-19 18:00
चौकीदारी,की,rahulgandhi,modi,loot,scoot,croni,mehulbhai,lalitbhai,mallya,cover,pulwamaattack,chowkidar,gift,airport,adani,chowkidarchorhai,arunachalwelcomesrahulgandhihttpsyoutubebccjcrdnyc,2019-03-19 15:50
countri,pulwamaattack,ajitdov,httpstribalsrirgnq,2019-03-19 13:50
yesterday,news,report,facebook,factcheck,partner,india—india,today,jagran,newsmobile—wer,misinform,pictur,video,post,pulwamaattack,2019-03-19 13:10
mission,hum,bjp,ke,pakka,ghor,virodhi,sheedha,support,sahmat,bjp,se,kyonki,चौकीदारहीचोरहै,choukidarhichorthaa,choukidarhichorrahega,kya,aap,sab,sahmat,choukidar,chor,hota,pulwamaattack,hota,plz,2019-03-19 11:51
msg,pak,ajit,doval,talk,pulwamaattack,countri,leadership,time,locat,act,supportharbor,abpnewstv,thcrpfanniversaryday,2019-03-19 10:27
china,countri,world,consid,dalailama,terrorist,masoodazhar,leader,pulwamaattack,2019-03-19 07:55
closet,aman,hide,trend,imran,peaceher,senat,prais,ghastli,pulwamaattack,applaud,pakistan,sagarikaghos,bdutt,javedakhtarjadu,pbhushan,maheshnbhatt,2019-03-18 23:28
factcheck,शहीद,के,परिजनों,ने,नहीं,की,थी,कोई,अपील,electionhttpswwwvishvasnewscomviralfactcheckmartyrsrelativedidnotappealtonottonarendramodiviralnew,2019-03-18 19:08
gautamgambhir,crpf,soldier,pulwamaattack,cricket,match,pakistan,ad,need,world,cup,finalhttpsbitlyufjcum,2019-03-18 18:27
kashmiri,shopkeep,mcleodganj,contribut,famili,crpf,jawan,tilakraj,district,martyr,pulwamaattack,dharamshala,martyr,pulwama,2019-03-18 13:01
celebr,someon,death,whatev,kind,life,hesh,respect,deceas,silenc,yeh,hisaab,kissi,aur,din,ke,liy,christchurchshoot,pulwamaattack,2019-03-18 00:26
rt,pulwamaattack,celebr,death,chant,pakistan,zindabaad,india,glorifi,afzal,guru,burhan,burn,hindu,godhra,ghazwa,hind,terrorist,2019-03-18 00:10
concentr,proscrib,punjab,pakistan,enterpris,minist,punjab,javeednusrat,focu,economi,bahr,haal,march,pulwamaattack,پلوامہ,pakistan,india,2019-03-17 19:16
comparison,manner,advani,bjp,tragedi,mumbai,attack,vote,opposit,demonstr,degre,solidar,crisi,trigger,pulwamaattack,httpbitlyxwzaa,2019-03-17 18:30
